Name,MaxCapacityFactor
RAPEL,fp_rapel
ALFALFAL,fp_alfalfal
HORNITOS,fp_hornitos
BLANCO,fp_blanco
JUNCAL,fp_juncal
LOSQUILOS,fp_losquilos
CHACABUQUITO,fp_chacabuquito
LAHIGUERA,fp_lahiguera
CONFLUENCIA,fp_laconfluencia
CHACAYES,fp_chacayes
EL_PASO,fp_elpaso
SAUZAL,fp_sauzal
CAVANCHA,fp_cavancha
LAJA_I,fp_laja
CHAPIQUINA,fp_chapiquina
COSAPILLA,fp_cosapilla
DIGUA,fp_digua
CSP_CERRO_DOMINADOR,fp_solar_csp
ENGIE_PV_Capricornio,fp_engie_solar_capricornio
ENGIE_PV_Tamaya,fp_engie_solar_tamaya
ENGIE_PV_Coya,fp_engie_solar_coya
ENGIE_PV_Tamaya2_E1,fp_engie_solar_tamaya2
ENGIE_PV_Tamaya2_E2,fp_engie_solar_tamaya2
ENGIE_PV_PCamarones2_E1,fp_engie_solar_pcamarones2
ENGIE_PV_PCamarones2_E2,fp_engie_solar_pcamarones2
ENGIE_PV_Libelula_E1,fp_engie_solar_libelula
ENGIE_PV_Libelula_E2,fp_engie_solar_libelula
ENGIE_PV_LasDamas,fp_engie_solar_lasdamas
ENGIE_PV_QuilapilunAlto,fp_engie_solar_centro
ENGIE_Wind_Calama,fp_engie_eolico_calama
ENGIE_Wind_VientosDelLoa,fp_engie_eolico_vientosloa
ENGIE_Wind_Ramadilla,fp_engie_eolico_ramadilla
ENGIE_Wind_ElRosal,fp_engie_eolico_elrosal
ENGIE_Wind_LosTrigales,fp_engie_eolico_trigales
ENGIE_Wind_LomasDeTaltal,fp_engie_eolico_lomastaltal
ENGIE_Wind_Litueche,fp_engie_eolico_litueche
ENGIE_Wind_LosAngelesNorte,fp_engie_eolico_elrosal
ENGIE_Wind_Pemuco,fp_engie_eolico_pemuco
ENGIE_Wind_NewenKuruf,fp_engie_eolico_newenkuruf
ENGIE_Wind_LomaVerde,fp_engie_eolico_lomaverde
