Name,DateFrom,Value_MW
ALFALFAL,1/1/2018,178.0
BESS_ALFALFAL,1/1/2018,0.0
BESS_ALFALFAL,12/1/2020,10.0
BESS_ALFALFAL,8/1/2023,49.5
BESS_ANDES_2B,1/1/2018,0.0
BESS_ANDES_2B,6/1/2023,112.0
BESS_ANDES_4,1/1/2018,0.0
BESS_ANDES_4,8/1/2024,106.0
BESS_DIEGO_DE_ALMAGRO_SUR,1/1/2018,0.0
BESS_DIEGO_DE_ALMAGRO_SUR,5/1/2023,8.0
BESS_SALVADOR,1/1/2018,0.0
BESS_SALVADOR,5/1/2023,50.0
BESS_URIBE_SOLAR,1/1/2018,0.0
BESS_URIBE_SOLAR,8/1/2023,2.5
BESSx_02h_AltoJahuel,1/1/2018,0.0
BESSx_02h_AltoJahuel,1/1/2025,0.0
BESSx_02h_AltoJahuel,1/1/2026,0.0
BESSx_02h_AltoJahuel,1/1/2027,0.0
BESSx_02h_AltoJahuel,1/1/2028,0.0
BESSx_02h_AltoJahuel,1/1/2029,27.0
BESSx_02h_AltoJahuel,1/1/2030,54.0
BESSx_02h_AltoJahuel,1/1/2031,76.0
BESSx_02h_AltoJahuel,1/1/2032,98.0
BESSx_02h_AltoJahuel,1/1/2033,135.0
BESSx_02h_AltoJahuel,1/1/2034,167.0
BESSx_02h_AltoJahuel,1/1/2035,199.0
BESSx_02h_AltoJahuel,1/1/2036,293.0
BESSx_02h_AltoJahuel,1/1/2037,313.0
BESSx_02h_AltoJahuel,1/1/2038,365.2
BESSx_02h_AltoJahuel,1/1/2039,430.5
BESSx_02h_AltoJahuel,1/1/2040,473.5
BESSx_02h_AltoJahuel,1/1/2041,517.6
BESSx_02h_AltoJahuel,1/1/2042,569.8
BESSx_02h_AltoJahuel,1/1/2043,635.0
BESSx_02h_AltoJahuel,1/1/2044,698.0
BESSx_02h_AltoJahuel,1/1/2045,766.0
BESSx_02h_AltoJahuel,1/1/2046,831.0
BESSx_02h_AltoJahuel,1/1/2047,922.0
BESSx_02h_AltoJahuel,1/1/2048,995.0
BESSx_02h_AltoJahuel,1/1/2049,1097.0
BESSx_02h_AltoJahuel,1/1/2050,1168.0
BESSx_02h_Ancoa,1/1/2018,0.0
BESSx_02h_Ancoa,1/1/2025,0.0
BESSx_02h_Ancoa,1/1/2026,0.0
BESSx_02h_Ancoa,1/1/2027,0.0
BESSx_02h_Ancoa,1/1/2028,0.0
BESSx_02h_Ancoa,1/1/2029,6.0
BESSx_02h_Ancoa,1/1/2030,12.0
BESSx_02h_Ancoa,1/1/2031,13.0
BESSx_02h_Ancoa,1/1/2032,14.0
BESSx_02h_Ancoa,1/1/2033,15.0
BESSx_02h_Ancoa,1/1/2034,16.0
BESSx_02h_Ancoa,1/1/2035,17.0
BESSx_02h_Ancoa,1/1/2036,18.0
BESSx_02h_Ancoa,1/1/2037,19.0
BESSx_02h_Ancoa,1/1/2038,21.0
BESSx_02h_Ancoa,1/1/2039,23.5
BESSx_02h_Ancoa,1/1/2040,26.0
BESSx_02h_Ancoa,1/1/2041,28.0
BESSx_02h_Ancoa,1/1/2042,28.5
BESSx_02h_Ancoa,1/1/2043,30.0
BESSx_02h_Ancoa,1/1/2044,33.0
BESSx_02h_Ancoa,1/1/2045,36.0
BESSx_02h_Ancoa,1/1/2046,39.0
BESSx_02h_Ancoa,1/1/2047,42.0
BESSx_02h_Ancoa,1/1/2048,45.0
BESSx_02h_Ancoa,1/1/2049,49.0
BESSx_02h_Ancoa,1/1/2050,60.0
BESSx_02h_Ancud,1/1/2018,0.0
BESSx_02h_Ancud,1/1/2025,0.0
BESSx_02h_Ancud,1/1/2026,0.0
BESSx_02h_Ancud,1/1/2027,0.0
BESSx_02h_Ancud,1/1/2028,0.0
BESSx_02h_Ancud,1/1/2029,6.0
BESSx_02h_Ancud,1/1/2030,12.0
BESSx_02h_Ancud,1/1/2031,13.0
BESSx_02h_Ancud,1/1/2032,14.0
BESSx_02h_Ancud,1/1/2033,15.0
BESSx_02h_Ancud,1/1/2034,16.0
BESSx_02h_Ancud,1/1/2035,17.0
BESSx_02h_Ancud,1/1/2036,18.0
BESSx_02h_Ancud,1/1/2037,19.0
BESSx_02h_Ancud,1/1/2038,20.2
BESSx_02h_Ancud,1/1/2039,21.7
BESSx_02h_Ancud,1/1/2040,23.2
