Etapa,Year,Month,Block
1,2023,1,1
2,2023,1,2
3,2023,1,3
4,2023,1,4
5,2023,1,5
6,2023,1,6
7,2023,1,7
8,2023,1,8
9,2023,1,9
10,2023,1,10
11,2023,1,11
12,2023,1,12
13,2023,2,1
14,2023,2,2
15,2023,2,3
16,2023,2,4
17,2023,2,5
18,2023,2,6
19,2023,2,7
20,2023,2,8
21,2023,2,9
22,2023,2,10
23,2023,2,11
24,2023,2,12
25,2023,3,1
26,2023,3,2
27,2023,3,3
28,2023,3,4
29,2023,3,5
30,2023,3,6
31,2023,3,7
32,2023,3,8
33,2023,3,9
34,2023,3,10
35,2023,3,11
36,2023,3,12
37,2023,4,1
38,2023,4,2
39,2023,4,3
40,2023,4,4
41,2023,4,5
42,2023,4,6
43,2023,4,7
44,2023,4,8
45,2023,4,9
46,2023,4,10
47,2023,4,11
48,2023,4,12
49,2023,5,1
50,2023,5,2
51,2023,5,3
52,2023,5,4
53,2023,5,5
54,2023,5,6
55,2023,5,7
56,2023,5,8
57,2023,5,9
58,2023,5,10
59,2023,5,11
60,2023,5,12
61,2023,6,1
62,2023,6,2
63,2023,6,3
64,2023,6,4
65,2023,6,5
66,2023,6,6
67,2023,6,7
68,2023,6,8
69,2023,6,9
70,2023,6,10
71,2023,6,11
72,2023,6,12
73,2023,7,1
74,2023,7,2
75,2023,7,3
76,2023,7,4
77,2023,7,5
78,2023,7,6
79,2023,7,7
80,2023,7,8
81,2023,7,9
82,2023,7,10
83,2023,7,11
84,2023,7,12
85,2023,8,1
86,2023,8,2
87,2023,8,3
88,2023,8,4
89,2023,8,5
90,2023,8,6
91,2023,8,7
92,2023,8,8
93,2023,8,9
94,2023,8,10
95,2023,8,11
96,2023,8,12
97,2023,9,1
98,2023,9,2
99,2023,9,3
100,2023,9,4
101,2023,9,5
102,2023,9,6
103,2023,9,7
104,2023,9,8
105,2023,9,9
106,2023,9,10
107,2023,9,11
108,2023,9,12
109,2023,10,1
110,2023,10,2
111,2023,10,3
112,2023,10,4
113,2023,10,5
114,2023,10,6
115,2023,10,7
116,2023,10,8
117,2023,10,9
118,2023,10,10
119,2023,10,11
120,2023,10,12
121,2023,11,1
122,2023,11,2
123,2023,11,3
124,2023,11,4
125,2023,11,5
126,2023,11,6
127,2023,11,7
128,2023,11,8
129,2023,11,9
130,2023,11,10
131,2023,11,11
132,2023,11,12
133,2023,12,1
134,2023,12,2
135,2023,12,3
136,2023,12,4
137,2023,12,5
138,2023,12,6
139,2023,12,7
140,2023,12,8
141,2023,12,9
142,2023,12,10
143,2023,12,11
144,2023,12,12
145,2024,1,1
146,2024,1,2
147,2024,1,3
148,2024,1,4
149,2024,1,5
150,2024,1,6
151,2024,1,7
152,2024,1,8
153,2024,1,9
154,2024,1,10
155,2024,1,11
156,2024,1,12
157,2024,2,1
158,2024,2,2
159,2024,2,3
160,2024,2,4
161,2024,2,5
162,2024,2,6
163,2024,2,7
164,2024,2,8
165,2024,2,9
166,2024,2,10
167,2024,2,11
168,2024,2,12
169,2024,3,1
170,2024,3,2
171,2024,3,3
172,2024,3,4
173,2024,3,5
174,2024,3,6
175,2024,3,7
176,2024,3,8
177,2024,3,9
178,2024,3,10
179,2024,3,11
180,2024,3,12
181,2024,4,1
182,2024,4,2
183,2024,4,3
184,2024,4,4
185,2024,4,5
186,2024,4,6
187,2024,4,7
188,2024,4,8
189,2024,4,9
190,2024,4,10
191,2024,4,11
192,2024,4,12
193,2024,5,1
194,2024,5,2
195,2024,5,3
196,2024,5,4
197,2024,5,5
198,2024,5,6
199,2024,5,7
200,2024,5,8
201,2024,5,9
202,2024,5,10
203,2024,5,11
204,2024,5,12
205,2024,6,1
206,2024,6,2
207,2024,6,3
208,2024,6,4
209,2024,6,5
210,2024,6,6
211,2024,6,7
212,2024,6,8
213,2024,6,9
214,2024,6,10
215,2024,6,11
216,2024,6,12
217,2024,7,1
218,2024,7,2
219,2024,7,3
220,2024,7,4
221,2024,7,5
222,2024,7,6
223,2024,7,7
